,mean reward,xl,method
0,18865520,10.0,Supervisory+RL
1,28443150,10.0,Supervisory+RL
2,16617380,10.0,Supervisory+RL
3,28424040,10.0,Supervisory+RL
4,22770900,10.0,Supervisory+RL
5,13697020,10.0,Supervisory+RL
6,13747720,10.0,Supervisory+RL
7,10883560,10.0,Supervisory+RL
8,14797900,10.0,Supervisory+RL
9,13706310,10.0,Supervisory+RL
10,14306600,10.0,Supervisory+RL
11,18093600,10.0,Supervisory+RL
12,16435710,10.0,Supervisory+RL
13,11247440,10.0,Supervisory+RL
14,25019180,10.0,Supervisory+RL
15,19671810,10.0,Supervisory+RL
16,15281720,10.0,Supervisory+RL
17,16230060,10.0,Supervisory+RL
18,20102870,10.0,Supervisory+RL
19,17753000,10.0,Supervisory+RL
20,18886790,10.0,Supervisory+RL
21,15251340,10.0,Supervisory+RL
22,20382690,10.0,Supervisory+RL
23,8717280,10.0,Supervisory+RL
24,21172520,10.0,Supervisory+RL
25,17469600,10.0,Supervisory+RL
26,9289060,10.0,Supervisory+RL
27,26511670,10.0,Supervisory+RL
28,20353300,10.0,Supervisory+RL
29,12770640,10.0,Supervisory+RL
30,20217280,10.0,Supervisory+RL
31,15881710,10.0,Supervisory+RL
32,13517420,10.0,Supervisory+RL
33,20535040,10.0,Supervisory+RL
34,15411210,10.0,Supervisory+RL
35,11648460,10.0,Supervisory+RL
36,16616000,10.0,Supervisory+RL
37,16693570,10.0,Supervisory+RL
38,24874340,10.0,Supervisory+RL
39,26833890,10.0,Supervisory+RL
40,20572890,10.0,Supervisory+RL
41,14215740,10.0,Supervisory+RL
42,18821560,10.0,Supervisory+RL
43,9608580,10.0,Supervisory+RL
44,16348940,10.0,Supervisory+RL
45,10284040,10.0,Supervisory+RL
46,24726850,10.0,Supervisory+RL
47,28114980,10.0,Supervisory+RL
48,17026420,10.0,Supervisory+RL
49,21179790,10.0,Supervisory+RL
50,10595090,20.0,Supervisory+RL
51,8679990,20.0,Supervisory+RL
52,5814910,20.0,Supervisory+RL
